"tab_code","表章項目","cat01_code","産業小分類","area_code","地域区分","time_code","時間軸","unit","value"
"701-2021","事業所数","I2","小売業計","00000","全国","2021000000","2021年","事業所","755015"
"701-2021","事業所数","I2","小売業計","0009A","区部","2021000000","2021年","事業所","196879"
"701-2021","事業所数","I2","小売業計","0019A","市部","2021000000","2021年","事業所","482387"
"701-2021","事業所数","I2","小売業計","0029A","郡部","2021000000","2021年","事業所","75749"
"701-2021","事業所数","I2","小売業計","01000","北海道","2021000000","2021年","事業所","31345"
"701-2021","事業所数","I2","小売業計","01100","札幌市","2021000000","2021年","事業所","8413"
"701-2021","事業所数","I2","小売業計","01101","札幌市中央区","2021000000","2021年","事業所","2294"
"701-2021","事業所数","I2","小売業計","01102","札幌市北区","2021000000","2021年","事業所","1045"
"701-2021","事業所数","I2","小売業計","01103","札幌市東区","2021000000","2021年","事業所","991"
"701-2021","事業所数","I2","小売業計","01104","札幌市白石区","2021000000","2021年","事業所","806"
"701-2021","事業所数","I2","小売業計","01105","札幌市豊平区","2021000000","2021年","事業所","663"
"701-2021","事業所数","I2","小売業計","01106","札幌市南区","2021000000","2021年","事業所","459"
"701-2021","事業所数","I2","小売業計","01107","札幌市西区","2021000000","2021年","事業所","816"
"701-2021","事業所数","I2","小売業計","01108","札幌市厚別区","2021000000","2021年","事業所","424"
"701-2021","事業所数","I2","小売業計","01109","札幌市手稲区","2021000000","2021年","事業所","459"
"701-2021","事業所数","I2","小売業計","01110","札幌市清田区","2021000000","2021年","事業所","456"
"701-2021","事業所数","I2","小売業計","0119A","北海道市部計","2021000000","2021年","事業所","15305"
"701-2021","事業所数","I2","小売業計","01202","函館市","2021000000","2021年","事業所","1855"
"701-2021","事業所数","I2","小売業計","01203","小樽市","2021000000","2021年","事業所","935"
"701-2021","事業所数","I2","小売業計","01204","旭川市","2021000000","2021年","事業所","2069"
"701-2021","事業所数","I2","小売業計","01205","室蘭市","2021000000","2021年","事業所","517"
"701-2021","事業所数","I2","小売業計","01206","釧路市","2021000000","2021年","事業所","1097"
"701-2021","事業所数","I2","小売業計","01207","帯広市","2021000000","2021年","事業所","1239"
"701-2021","事業所数","I2","小売業計","01208","北見市","2021000000","2021年","事業所","749"
"701-2021","事業所数","I2","小売業計","01209","夕張市","2021000000","2021年","事業所","70"
"701-2021","事業所数","I2","小売業計","01210","岩見沢市","2021000000","2021年","事業所","484"
"701-2021","事業所数","I2","小売業計","01211","網走市","2021000000","2021年","事業所","266"
"701-2021","事業所数","I2","小売業計","01212","留萌市","2021000000","2021年","事業所","195"
"701-2021","事業所数","I2","小売業計","01213","苫小牧市","2021000000","2021年","事業所","961"
"701-2021","事業所数","I2","小売業計","01214","稚内市","2021000000","2021年","事業所","251"
"701-2021","事業所数","I2","小売業計","01215","美唄市","2021000000","2021年","事業所","136"
"701-2021","事業所数","I2","小売業計","01216","芦別市","2021000000","2021年","事業所","93"
"701-2021","事業所数","I2","小売業計","01217","江別市","2021000000","2021年","事業所","504"
"701-2021","事業所数","I2","小売業計","01218","赤平市","2021000000","2021年","事業所","78"
