"cat01_code","確報・集計項目","cat02_code","産業分類","area_code","区市郡","unit","value"
"010000000","事業所数","2","小売業計","00000","全国","","1137859"
"010000000","事業所数","2","小売業計","01000","北海道","","44549"
"010000000","事業所数","2","小売業計","01100","札幌市","","10772"
"010000000","事業所数","2","小売業計","01101","中央区","","3005"
"010000000","事業所数","2","小売業計","01102","北区","","1312"
"010000000","事業所数","2","小売業計","01103","東区","","1271"
"010000000","事業所数","2","小売業計","01104","白石区","","915"
"010000000","事業所数","2","小売業計","01105","豊平区","","954"
"010000000","事業所数","2","小売業計","01106","南区","","629"
"010000000","事業所数","2","小売業計","01107","西区","","1034"
"010000000","事業所数","2","小売業計","01108","厚別区","","597"
"010000000","事業所数","2","小売業計","01109","手稲区","","582"
"010000000","事業所数","2","小売業計","01110","清田区","","473"
"010000000","事業所数","2","小売業計","01202","函館市","","3091"
"010000000","事業所数","2","小売業計","01203","小樽市","","1502"
"010000000","事業所数","2","小売業計","01204","旭川市","","2727"
"010000000","事業所数","2","小売業計","01205","室蘭市","","918"
"010000000","事業所数","2","小売業計","01206","釧路市","","1573"
"010000000","事業所数","2","小売業計","01207","帯広市","","1529"
"010000000","事業所数","2","小売業計","01208","北見市","","1084"
"010000000","事業所数","2","小売業計","01209","夕張市","","196"
"010000000","事業所数","2","小売業計","01210","岩見沢市","","726"
"010000000","事業所数","2","小売業計","01211","網走市","","416"
"010000000","事業所数","2","小売業計","01212","留萌市","","292"
"010000000","事業所数","2","小売業計","01213","苫小牧市","","1366"
"010000000","事業所数","2","小売業計","01214","稚内市","","407"
"010000000","事業所数","2","小売業計","01215","美唄市","","236"
"010000000","事業所数","2","小売業計","01216","芦別市","","163"
"010000000","事業所数","2","小売業計","01217","江別市","","608"
"010000000","事業所数","2","小売業計","01218","赤平市","","151"
"010000000","事業所数","2","小売業計","01219","紋別市","","292"
"010000000","事業所数","2","小売業計","01220","士別市","","270"
"010000000","事業所数","2","小売業計","01221","名寄市","","324"
"010000000","事業所数","2","小売業計","01222","三笠市","","143"
